자치구,인구,세대수,성비,년도,면적,가구수,one,출생건수,사망건수,혼인건수,이혼건수,인력수,차량수,1인세대수,면적대비1인세대,외국인비율,인구밀도,세대당인구,출생률,사망률,혼인률,이혼률,one비율,인구대비one,면적대비one
중랑구,408226,179132,0.99,2017,18.51,159035,47543,2744.0,2068.0,2302.0,956.0,147,55,69385.0,3750.540540540541,0.0207397799992658,22054.349000540245,2.2789116405778977,6.7217668644329365,5.065821383253394,5.6390332805847745,2.3418400591829034,0.29894677272298553,0.1164624497214778,2568.5035116153426
성북구,444055,187112,0.95,2017,24.58,172973,54243,2631.0,2097.0,1917.0,732.0,107,79,69365.0,2822.0097640358017,0.0334700094487639,18065.703824247357,2.373204284065159,5.92494173019108,4.722387992478409,4.317032799990992,1.6484444494488295,0.3135922947512039,0.12215378725608314,2206.7941415785194
강북구,324479,142533,0.96,2017,23.6,127281,39082,1772.0,1873.0,1436.0,742.0,0,0,54745.0,2319.7033898305085,0.0197773184309851,13749.110169491525,2.276518420295651,5.461062195088126,5.772330412753984,4.425556045229429,2.2867427476046216,0.30705289870444136,0.12044539091898089,1656.0169491525423
도봉구,344166,137378,0.96,2017,20.67,125974,29469,1906.0,1739.0,1543.0,666.0,78,51,41294.0,1999.7094430992736,0.0119716723372054,16650.507982583455,2.5052482930309075,5.538025255254732,5.052794291126956,4.483301662569806,1.9351127072401109,0.23392922349056156,0.08562437893342166,1425.689404934688
노원구,554403,217619,0.95,2017,35.44,202955,49265,3494.0,2645.0,2420.0,1003.0,40,40,64810.0,1828.72460496614,0.0117249627487228,15643.425507900678,2.5475854589902536,6.3022746990907335,4.770897704377502,4.365055744647846,1.8091532693726404,0.24273853809957874,0.08886135176036204,1390.0959367945825
은평구,486794,202839,0.94,2017,29.7,179641,46535,2930.0,2403.0,2331.0,917.0,142,82,70698.0,2379.602827330865,0.0171273732598808,16390.370370370372,2.399903371639576,6.018973117992416,4.936379659568524,4.7884731529147855,1.883753702798309,0.2590444274970636,0.09559485121016283,1566.8350168350169
서대문구,312800,137266,0.93,2017,17.61,126672,43418,1911.0,1507.0,1546.0,485.0,0,0,55117.0,3126.318774815655,0.0450887389629864,17762.634866553097,2.2787871723514925,6.109335038363171,4.817774936061381,4.942455242966751,1.5505115089514065,0.34275925224201087,0.13880434782608694,2465.5309483248157
마포구,374915,169408,0.91,2017,23.84,152814,54162,2812.0,1533.0,2294.0,576.0,151,78,71949.0,3016.729559748428,0.0355839134592643,15726.30033557047,2.2130891103135624,7.50036674979662,4.088926823413307,6.1187202432551375,1.5363482389341583,0.35443087675213003,0.14446474534227757,2271.8959731543623
양천구,471154,176649,0.97,2017,17.41,162045,33088,2876.0,1805.0,2021.0,700.0,110,69,47379.0,2721.3670304422744,0.0171619968715987,27062.263067202755,2.6671761515774217,6.104161272110605,3.8310191572182344,4.289467987112494,1.4857138005832489,0.20419019408189082,0.07022756890528362,1900.5169442848937
강서구,601691,254257,0.95,2017,41.44,231739,68237,4800.0,2574.0,4069.0,1120.0,123,68,91595.0,2209.770808202654,0.0205985953112389,14519.570463320464,2.366467786530951,7.977516698770631,4.277943329715751,6.762607384853687,1.8614205630464806,0.2944562632962082,0.1134087097862524,1646.645752895753
구로구,410742,171570,0.99,2017,20.12,156110,42984,3139.0,1749.0,2460.0,775.0,107,61,60669.0,3015.357852882704,0.1194704645383291,20414.612326043738,2.394019933554817,7.642266921814667,4.258147450224228,5.98916107921761,1.886829201786036,0.27534430850041636,0.10464963407686577,2136.3817097415504
금천구,235154,106066,1.03,2017,13.02,95331,32928,1498.0,1167.0,1439.0,525.0,74,25,44496.0,3417.5115207373274,0.1190517329395964,18060.983102918588,2.2170535327060508,6.3702935097850775,4.962705291000791,6.119394099186065,2.232579501092901,0.34540705541744027,0.14002738630854675,2529.032258064516
영등포구,368550,167355,1.0,2017,24.53,147559,51151,2805.0,1560.0,2539.0,628.0,128,72,72378.0,2948.1873727087577,0.1467264646902606,15024.459845087647,2.202204893788653,7.610907610907611,4.232804232804233,6.8891602224935555,1.7039750373083706,0.34664778156534,0.13878985212318545,2085.2425601304526
동작구,396217,172995,0.95,2017,16.35,160062,54355,2814.0,1641.0,2282.0,598.0,0,0,68697.0,4199.083129584352,0.044284802347628,24233.45565749235,2.2903378710367353,7.102168761057704,4.141669842535783,5.759470189315451,1.509273958462156,0.3395871599755095,0.13718492644182353,3324.464831804281
관악구,503297,255352,1.02,2017,29.57,232212,106865,2931.0,2068.0,3205.0,817.0,96,49,133850.0,4526.547176192086,0.055085477789295,17020.527561717958,1.9709929822362855,5.823599186961178,4.108905874662476,6.368009346370036,1.6232959862665581,0.46020446833066336,0.21232989666141464,3613.9668583023335
서초구,441102,173594,0.92,2017,47.0,155513,39702,3039.0,1446.0,2288.0,561.0,0,0,55973.0,1191.4218816517669,0.0179276651826107,9385.148936170213,2.5409979607590123,6.889562958227349,3.278153352285866,5.187008900435727,1.2718146823183754,0.2552969848179895,0.09000639307915176,844.7234042553191
강남구,556164,231612,0.92,2017,39.5,207369,62774,3456.0,1756.0,2677.0,805.0,535,153,87820.0,2223.2911392405063,0.0162272544944025,14080.101265822785,2.401274545360344,6.213994433296653,3.1573420789551285,4.813328442689566,1.4474147913205457,0.30271641373590075,0.11286958523025582,1589.2151898734178
송파구,664496,264628,0.95,2017,33.88,237516,58848,4976.0,2239.0,3896.0,1041.0,195,102,85227.0,2515.5548996458087,0.018226299329681,19613.223140495866,2.5110570310020104,7.488382172353182,3.3694709975680817,5.863090221762057,1.566600852375334,0.24776436113777597,0.08856035250776528,1736.9539551357732
강동구,436223,177407,0.99,2017,24.59,160680,41050,2968.0,1877.0,2427.0,784.0,121,53,59590.0,2423.342822285482,0.0186120869563242,17739.853599023994,2.458882682194051,6.803859493882716,4.302845104453456,5.563668123872423,1.797245904044491,0.2554767239233259,0.09410324535845198,1669.3777958519725
종로구,153065,73735,0.96,2018,23.91,63773,25326,644.0,897.0,676.0,244.0,120,67,36012.0,1506.1480552070263,0.0798154895538135,6401.714763697198,2.075879839967451,4.207362885048836,5.860255447032307,4.416424394864927,1.5940940123476954,0.39712731093095827,0.16545911867507268,1059.2220828105394
