년도,자치구,점포수,연도별_평균_상권_매출금액,연도별_주중_평균_상권_매출금액,연도별_주말_평균_상권_매출금액,연도별_월요일_평균_상권_매출금액,연도별_화요일_평균_상권_매출금액,연도별_수요일_평균_상권_매출금액,연도별_목요일_평균_상권_매출금액,연도별_금요일_평균_상권_매출금액,연도별_토요일_평균_상권_매출금액,연도별_일요일_평균_상권_매출금액,연도별_00_06_시간대_평균_상권_매출금액,연도별_06_11_시간대_평균_상권_매출금액,연도별_11_14_시간대_평균_상권_매출금액,연도별_14_17_시간대_평균_상권_매출금액,연도별_17_21_시간대_평균_상권_매출금액,연도별_21_24_시간대_평균_상권_매출금액,연도별_남성_평균_상권_매출금액,연도별_여성_평균_상권_매출금액,연도별_10대_평균_상권_매출금액,연도별_20대_평균_상권_매출금액,연도별_30대_평균_상권_매출금액,연도별_40대_평균_상권_매출금액,연도별_50대_평균_상권_매출금액,연도별_60대이상_평균_상권_매출금액
2018,광진구,31822,69165341.41234928,67679506.09260514,69810202.6108923,65360349.028483,66025791.805084355,66787665.47859918,63974019.698596,69506031.03124776,69819054.2574593,52740847.53981747,47379789.440534286,0.0,0.0,76573812.26451544,60202407.797116674,61703963.11130908,76351528.6632031,57360913.94664891,26101437.66066737,52134457.191606365,49641387.52844526,58690761.052891344,84856162.81126784,59323650.60224265
2018,구로구,32809,65907556.91449865,63226471.4268545,59849148.27765226,54484298.03680601,60413255.63304329,65962959.686157875,60107148.82201621,57829902.81877473,60119851.68334002,50632656.7164443,48304844.93685896,47144248.82480984,54236370.77359891,0.0,58575599.6590889,57895680.09064347,59140302.97078545,54829301.23639941,0.0,38320085.06923729,51275322.52403449,54378849.118055664,62320192.68148254,0.0
2018,금천구,26806,74587622.48783669,75789859.53324565,42883097.61991678,44333303.91962752,73377945.56789714,64484610.460647136,59187897.852886565,69964104.11341244,42689870.73922567,41692997.81427611,0.0,0.0,59719011.8652719,74015154.36978397,62825524.2362959,52283850.464856625,65783215.445729025,62282742.43292511,19105429.345083535,29551137.501283027,61724860.02762332,66006721.30854768,59407778.35047301,53628121.595348924
2018,노원구,23728,40052194.14013925,39758561.746998996,35963494.62138804,32376060.160573103,32937454.488000985,33169806.808986206,38458212.93668889,40474084.38139459,36574187.5556816,31883272.195088256,28414720.61187316,33462244.209082875,35380505.093861,31013859.315581243,33448753.815412242,36392863.43122485,39621328.660462946,31782813.30144428,0.0,29949928.07701678,31683130.453467686,34173809.91832632,37314268.220785305,35605438.314053476
2018,도봉구,19267,39206060.70994185,38765789.138240255,38550036.16746425,34276445.23934799,37371875.45874197,38259147.647906415,38711232.75291774,37549878.541992255,39280597.136494815,35922905.9512056,26576290.432827555,35660010.76484896,35144642.37700342,35873948.02889521,36875405.178189464,36909763.16620673,37645837.86110671,36994006.01453742,18587262.951733492,26452115.911102016,36316599.77461129,37114881.52608574,38936929.19224677,37380619.52592123
2018,동대문구,33827,84557420.61927809,83773835.7482522,0.0,74612277.40377322,87436744.21960622,69951781.13587,74848984.08244747,74717428.09550022,0.0,0.0,62808585.239067845,81685070.65450771,66861997.0908304,71881942.57333495,77036773.27631988,0.0,70349496.00431074,72339453.2314755,26250429.85398827,50774465.78546263,60771758.70187306,69192880.36294109,74424440.56756128,86436203.31068225
2018,동작구,29682,44834100.53928724,44539394.31664701,44978800.65602173,42698404.19381257,43940256.15762783,44239133.9012077,44267881.7103389,46498606.77902868,46109981.11581383,41185320.295507796,0.0,39283283.233690165,41151482.82710445,40478529.88645679,44331730.051003985,50184682.78568137,42891152.47652191,40277070.72859013,0.0,32681811.066131916,39541625.23777634,43748850.84838983,47958700.44581338,46657240.55109958
2018,마포구,57606,80356369.21026862,78584704.04565151,79760579.21792512,69800190.36237343,76164756.34388915,75465866.8418677,72521371.88613392,80059905.35164298,80539353.10544612,66563593.63055941,0.0,68368565.56970343,55844993.71638924,64425477.90473965,76109836.79695818,91003069.37281433,76511915.9357462,64227478.11829457,31845039.937088754,53353565.47646544,65171980.8227014,75038142.59082933,75510207.34890123,76386808.60992178
2018,서대문구,27690,48670702.75873171,48208681.32851444,49813159.99431159,45330158.90938206,46578186.49359661,48352817.73771466,46895894.2435244,49393851.29973695,49748416.6111124,46074404.069371894,0.0,0.0,40483901.04594567,41964188.23723245,47206309.802274,56167339.07146067,45401119.74957261,43382287.02938481,20746886.675604254,32553457.845261928,41125755.18592243,50101803.54681056,46501142.543829665,51467630.68626114
2018,서초구,52726,82352559.24321559,82526007.8952544,78576953.88813968,0.0,73641721.23917268,77855551.84350237,77650024.47803275,77390770.96406981,78450521.40562221,64691214.6243586,0.0,65800829.16318691,0.0,0.0,80492132.44598295,93270286.87912084,73040419.88416687,62283572.40333311,0.0,44602757.75424036,64310731.78662274,66239754.19300415,77969734.74383569,77502405.72663738
