자치구,주택수,단독주택수,다가구주택수,아파트수,년도,월세거래수,월세평균임대면적,월세평균보증금액,월세평균임대료액,다가구주택_월세거래수,다가구주택_월세평균임대면적,다가구주택_월세평균보증금액,다가구주택_월세평균임대료액,전세거래수,전세평균임대면적,전세평균보증금액,다가구주택_전세거래수,아파트_전세거래수,다가구주택_전세평균임대면적,아파트_전세평균임대면적,다가구주택_전세평균보증금액,아파트_전세평균보증금액,임대거래수,실거래수,평균실거래가,평균거래면적,다가구주택_실거래수,다가구주택_평균실거래가,다가구주택_평균거래면적,아파트_실거래수,아파트_평균실거래가,아파트_평균거래면적,지가변동률,아파트비율,단독주택비율,단독주택_내_다가구주택_비율,월세비율,다가구주택_전월세비율,다가구주택_실거래비율,아파트_실거래비율
관악구,125148,21584,14419,53915,2018,12554,34.64099968137645,4012.8506452126812,40.978492910626095,8079,33.022114123035024,2830.094937492264,37.56578784503033,12539,44.73914187734269,17383.536406411993,6481,2820,10721.790001542971,33603.256382978725,35.474235457491126,73.04323758865247,25093,6896,44613.52030162413,83.32233903712297,897,105614.08807134895,221.26739130434783,3104,47050.68202319588,76.38902384020618,0.38808334,0.4308099210534727,0.17246779812701762,0.6680411415863603,0.5002988881361335,1.2465668878259528,0.1300754060324826,0.45011600928074247
서초구,132040,6395,4323,93299,2018,8997,61.379203067689225,17785.793375569636,88.22274091363788,2373,48.150113780025286,5473.859671302149,49.34428992836072,13160,73.00660106382979,49987.555927051675,1667,7793,19252.624475104978,67490.58154754266,55.060305938812235,89.59902091620685,22157,6083,111273.04915337826,93.1831711326648,203,261566.05418719212,343.4565517241379,3576,145886.76621923936,104.74934563758389,0.53041667,0.7065964859133596,0.048432293244471375,0.675996872556685,0.40605677663943673,1.423515296940612,0.0333716915995397,0.5878678283741575
강남구,171431,7283,4823,124418,2018,12360,60.546817961165054,17955.584061488673,91.70404530744337,3068,50.96660691003911,5148.850717079531,57.99380704041721,16648,71.67773906775588,50977.923053820276,2482,10275,19725.080580177277,67974.22102189781,55.24641821112006,86.06734695863747,29008,6928,121935.27266166282,89.58847863741339,209,385475.16267942585,431.79966507177033,4263,153023.46868402534,95.14856439127375,0.52033335,0.7257613850470451,0.0424835648161651,0.6622271042152958,0.42608935466078324,1.2360999194198228,0.03016743648960739,0.6153290993071594
송파구,199739,8441,5997,119226,2018,14039,49.928078923000214,11969.882683951848,60.52895505377876,2899,40.1605036219386,3344.642290444981,36.63780614004829,21691,61.46338066479185,35412.20114333134,2235,10610,12334.697986577181,52705.86908576814,46.147736017897095,81.59782092365693,35730,9657,73073.56849953401,75.58560111835975,292,123598.70547945205,256.36195205479453,5671,98824.22429906542,85.53297831070358,0.48241666,0.5969089662008922,0.0422601494950911,0.7104608458713423,0.3929191155891408,1.2970917225950782,0.030237133685409548,0.5872424148286217
강동구,122718,10467,7692,75473,2018,7783,45.03406398560966,6404.807015289734,43.562251060002566,3710,42.34416172506739,3103.0256064690025,34.350404312668466,12804,56.55907606997813,26084.711105904404,3167,5347,11224.493211240922,40142.85393678698,47.02639090622039,75.94410323545914,20587,7444,54980.21520687802,77.78224610424503,534,113376.46441947565,250.45078651685392,4322,65572.43405830635,77.79722350763535,0.46266666,0.6150116527322805,0.08529311103505598,0.7348810547434795,0.37805411181813764,1.171455636248816,0.07173562600752284,0.5806018269747447
종로구,46440,12421,4053,15290,2019,2526,44.41295724465559,7524.56927949327,60.958432304038006,1090,37.416394495412845,3871.078899082569,46.611926605504586,2965,60.324981450252956,30333.72849915683,885,1042,15641.016949152543,51642.89347408829,49.677016949152545,76.4352207293666,5491,1809,59949.83360972913,77.65542288557214,339,99505.70206489676,129.8258112094395,578,79247.30103806229,78.10904844290657,0.36425003,0.3292420327304048,0.2674633936261843,0.3263022300941953,0.4600254962666181,1.231638418079096,0.18739635157545606,0.3195135433941404
중구,41754,6035,2461,25823,2019,2615,43.220474187380496,6392.422179732313,68.81606118546846,774,38.60789405684754,3306.9121447028424,47.145994832041346,3100,53.912235483870965,29958.901612903224,697,1323,12858.96700143472,45991.457294028725,44.62233859397418,73.1410582010582,5715,1609,70037.87569919204,76.36671224362958,194,124616.72164948453,133.88546391752575,904,80913.57743362832,81.91485619469026,0.38841662,0.6184557168175504,0.14453705034248215,0.4077879038939519,0.4575678040244969,1.1104734576757531,0.12057178371659416,0.5618396519577378
용산구,72463,14487,7554,36181,2019,4101,54.18455498658864,8634.2804194099,74.19726895879054,1942,41.7711122554068,2820.3192584963954,47.790937178166836,7630,61.225327653997375,32333.186631716908,1906,2947,12516.322140608605,54937.423820834745,46.15292759706191,88.6837054631829,11731,3408,103295.88791079812,83.83482100938967,452,147442.7389380531,145.765796460177,1366,154144.2840409956,103.0038067349927,0.4759167,0.4993030926127817,0.19992271918082333,0.5214330089045351,0.3495865655101867,1.018887722980063,0.13262910798122066,0.40082159624413144
성동구,91037,10782,6899,67058,2019,5867,46.77451678881882,9078.961479461394,68.40003408897222,2576,32.620073757763976,2838.4289596273293,39.42973602484472,8705,61.66206777713958,35962.134750143596,2083,5228,11669.423907825252,50456.615531752104,39.248526164186266,76.83960405508799,14572,3971,90061.32938806346,82.20158398388315,377,146191.6551724138,184.07007957559682,2885,96066.83535528596,78.80984748700173,0.4775,0.7366016015466239,0.11843536144644486,0.6398627341866073,0.40262146582486963,1.2366778684589534,0.09493830269453538,0.7265172500629564
광진구,89132,15786,12140,32089,2019,8426,38.696412295276524,4968.37882743888,45.99620223118917,5519,36.68849972821163,3076.84109440116,39.12683457148034,10422,49.44306083285358,23934.08117443869,4387,2267,12887.909505356736,50328.46052051169,41.85632550718031,81.24003087781209,18848,4300,60277.512325581396,77.58471395348838,437,119385.823798627,232.27043478260867,1645,89529.49726443768,82.99468693009119,0.4331667,0.36001660458645607,0.17710810932100704,0.7690358545546687,0.4470500848896435,1.258035103715523,0.10162790697674419,0.3825581395348837
